File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_-0290.dat;7.4962491838E+8;5.1286138399E-1;1.1089544130E+6;2.7272196545E+2
dcsH1He0el_1000log10e_-0300.dat;7.4962491838E+8;5.0118723363E-1;1.0962603168E+6;2.7293780879E+2
dcsH1He0el_1000log10e_-0310.dat;7.4962491838E+8;4.8977881937E-1;1.0837115287E+6;2.7952598024E+2
dcsH1He0el_1000log10e_-0320.dat;7.4962491838E+8;4.7863009232E-1;1.0713063854E+6;2.9205010603E+2
dcsH1He0el_1000log10e_-0330.dat;7.4962491838E+8;4.6773514129E-1;1.0590432426E+6;3.0462623246E+2
dcsH1He0el_1000log10e_-0340.dat;7.4962491838E+8;4.5708818961E-1;1.0469204749E+6;2.9627074213E+2
dcsH1He0el_1000log10e_-0350.dat;7.4962491838E+8;4.4668359215E-1;1.0349364753E+6;2.9809988261E+2
dcsH1He0el_1000log10e_-0360.dat;7.4962491838E+8;4.3651583224E-1;1.0230896554E+6;2.9949779171E+2
dcsH1He0el_1000log10e_-0370.dat;7.4962491838E+8;4.2657951880E-1;1.0113784450E+6;3.0161462545E+2
dcsH1He0el_1000log10e_-0380.dat;7.4962491838E+8;4.1686938347E-1;9.9980129164E+5;3.0814572195E+2
dcsH1He0el_1000log10e_-0390.dat;7.4962491838E+8;4.0738027780E-1;9.8835666089E+5;3.2353842028E+2
dcsH1He0el_1000log10e_-0400.dat;7.4962491838E+8;3.9810717055E-1;9.7704303575E+5;3.3077565643E+2
dcsH1He0el_1000log10e_-0410.dat;7.4962491838E+8;3.8904514499E-1;9.6585891661E+5;3.4328948517E+2
dcsH1He0el_1000log10e_-0420.dat;7.4962491838E+8;3.8018939632E-1;9.5480282101E+5;3.5406013507E+2
dcsH1He0el_1000log10e_-0430.dat;7.4962491838E+8;3.7153522910E-1;9.4387328350E+5;3.5998578696E+2
dcsH1He0el_1000log10e_-0440.dat;7.4962491838E+8;3.6307805477E-1;9.3306885537E+5;3.5923766576E+2
dcsH1He0el_1000log10e_-0450.dat;7.4962491838E+8;3.5481338923E-1;9.2238810450E+5;3.5353436846E+2
dcsH1He0el_1000log10e_-0460.dat;7.4962491838E+8;3.4673685045E-1;9.1182961518E+5;3.5353059769E+2
dcsH1He0el_1000log10e_-0470.dat;7.4962491838E+8;3.3884415614E-1;9.0139198789E+5;3.5943313565E+2
dcsH1He0el_1000log10e_-0480.dat;7.4962491838E+8;3.3113112148E-1;8.9107383912E+5;3.6742268982E+2
dcsH1He0el_1000log10e_-0490.dat;7.4962491838E+8;3.2359365693E-1;8.8087380123E+5;3.7727638591E+2
dcsH1He0el_1000log10e_-0500.dat;7.4962491838E+8;3.1622776602E-1;8.7079052221E+5;3.8705993713E+2
dcsH1He0el_1000log10e_-0510.dat;7.4962491838E+8;3.0902954325E-1;8.6082266553E+5;3.9184870903E+2
dcsH1He0el_1000log10e_-0520.dat;7.4962491838E+8;3.0199517204E-1;8.5096890996E+5;3.7269692049E+2
dcsH1He0el_1000log10e_-0530.dat;7.4962491838E+8;2.9512092267E-1;8.4122794940E+5;3.6970500900E+2
dcsH1He0el_1000log10e_-0540.dat;7.4962491838E+8;2.8840315031E-1;8.3159849269E+5;3.6389726273E+2
dcsH1He0el_1000log10e_-0550.dat;7.4962491838E+8;2.8183829313E-1;8.2207926346E+5;3.5689220053E+2
dcsH1He0el_1000log10e_-0560.dat;7.4962491838E+8;2.7542287033E-1;8.1266899995E+5;3.5172869571E+2
dcsH1He0el_1000log10e_-0570.dat;7.4962491838E+8;2.6915348039E-1;8.0336645483E+5;3.5282786727E+2
dcsH1He0el_1000log10e_-0580.dat;7.4962491838E+8;2.6302679919E-1;7.9417039506E+5;3.5841665490E+2
dcsH1He0el_1000log10e_-0590.dat;7.4962491838E+8;2.5703957828E-1;7.8507960173E+5;3.6457438985E+2
dcsH1He0el_1000log10e_-0600.dat;7.4962491838E+8;2.5118864315E-1;7.7609286984E+5;3.7004957953E+2
dcsH1He0el_1000log10e_-0610.dat;7.4962491838E+8;2.4547089157E-1;7.6720900822E+5;3.7351959137E+2
dcsH1He0el_1000log10e_-0620.dat;7.4962491838E+8;2.3988329190E-1;7.5842683932E+5;3.7307146919E+2
