File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma;Total_Probability
dcsH1He0el_1000log10e_-1170.dat;749624918.38;0.067608297539;402637.01108;642.45051045;1.3313191196830376
dcsH1He0el_1000log10e_-1180.dat;749624918.38;0.066069344801;398028.06333;656.23913289;1.3598926150571862
dcsH1He0el_1000log10e_-1190.dat;749624918.38;0.064565422903;393471.87377;669.07552671;1.3864928531181338
dcsH1He0el_1000log10e_-1200.dat;749624918.38;0.063095734448;388967.83847;681.00055822;1.41120451914353
dcsH1He0el_1000log10e_-1210.dat;749624918.38;0.061659500186;384515.36044;691.76198443;1.4335049021853241
dcsH1He0el_1000log10e_-1220.dat;749624918.38;0.060255958607;380113.84951;700.79189729;1.4522171538592612
dcsH1He0el_1000log10e_-1230.dat;749624918.38;0.058884365536;375762.72225;707.08346692;1.465254869301917
dcsH1He0el_1000log10e_-1240.dat;749624918.38;0.057543993734;371461.40194;708.89365166;1.4690060275862067
dcsH1He0el_1000log10e_-1250.dat;749624918.38;0.056234132519;367209.31844;702.1154079;1.4549598008827063
dcsH1He0el_1000log10e_-1260.dat;749624918.38;0.054954087386;363005.90813;697.66382114;1.4457349929479053
dcsH1He0el_1000log10e_-1270.dat;749624918.38;0.053703179637;358850.61386;693.92458;1.4379863443877223
dcsH1He0el_1000log10e_-1280.dat;749624918.38;0.052480746025;354742.88485;688.03606067;1.4257838505875988
dcsH1He0el_1000log10e_-1290.dat;749624918.38;0.051286138399;350682.17662;680.74004453;1.4106646692238947
dcsH1He0el_1000log10e_-1300.dat;749624918.38;0.050118723363;346667.95094;672.75276317;1.3941130123789063
dcsH1He0el_1000log10e_-1310.dat;749624918.38;0.048977881937;342699.67572;664.90254315;1.3778453811196143
dcsH1He0el_1000log10e_-1320.dat;749624918.38;0.047863009232;338776.82497;658.21063818;1.3639780701147204
dcsH1He0el_1000log10e_-1330.dat;749624918.38;0.046773514129;334898.87873;653.98415755;1.3552197387255092
dcsH1He0el_1000log10e_-1340.dat;749624918.38;0.045708818961;331065.32296;654.03315135;1.3553212662075875
dcsH1He0el_1000log10e_-1350.dat;749624918.38;0.044668359215;327275.64955;662.40397119;1.372667711294242
dcsH1He0el_1000log10e_-1360.dat;749624918.38;0.043651583224;323529.35617;704.86824713;1.4606643764736655
dcsH1He0el_1000log10e_-1370.dat;749624918.38;0.04265795188;319825.94625;700.40194522;1.4514090750452413
dcsH1He0el_1000log10e_-1380.dat;749624918.38;0.041686938347;316164.92892;694.33452305;1.4388358495427012
dcsH1He0el_1000log10e_-1390.dat;749624918.38;0.04073802778;312545.8189;686.90890404;1.4234480984199411
dcsH1He0el_1000log10e_-1400.dat;749624918.38;0.039810717055;308968.1365;678.12536861;1.4052464027777638
dcsH1He0el_1000log10e_-1410.dat;749624918.38;0.038904514499;305431.40749;667.84422738;1.3839412910702902
dcsH1He0el_1000log10e_-1420.dat;749624918.38;0.038018939632;301935.16308;655.82320938;1.3590307168842035
dcsH1He0el_1000log10e_-1430.dat;749624918.38;0.03715352291;298478.93984;641.74444359;1.329855971479086
dcsH1He0el_1000log10e_-1440.dat;749624918.38;0.036307805477;295062.27967;625.23928103;1.295653121403968
dcsH1He0el_1000log10e_-1450.dat;749624918.38;0.035481338923;291684.72969;605.85554028;1.2554851329726433
dcsH1He0el_1000log10e_-1460.dat;749624918.38;0.034673685045;288345.8422;643.26050697;1.3329976362946867
dcsH1He0el_1000log10e_-1470.dat;749624918.38;0.033884415614;285045.17463;646.73599783;1.34019972790632
dcsH1He0el_1000log10e_-1480.dat;749624918.38;0.033113112148;281782.2895;649.98433287;1.3469310954989138
dcsH1He0el_1000log10e_-1490.dat;749624918.38;0.032359365693;278556.75431;654.38472787;1.356049821225436
dcsH1He0el_1000log10e_-1500.dat;749624918.38;0.031622776602;275368.14151;660.48652224;1.3686942745755708
dcsH1He0el_1000log10e_-1510.dat;749624918.38;0.030902954325;272216.02846;668.6577773;1.3856271712208936
dcsH1He0el_1000log10e_-1520.dat;749624918.38;0.030199517204;269099.99735;679.16037172;1.4073911896630744
dcsH1He0el_1000log10e_-1530.dat;749624918.38;0.029512092267;266019.63515;692.15321596;1.434315632362419
dcsH1He0el_1000log10e_-1540.dat;749624918.38;0.028840315031;262974.53357;707.66235472;1.4664544704910445
dcsH1He0el_1000log10e_-1550.dat;749624918.38;0.028183829313;259964.28897;725.51829553;1.5034564730011377
dcsH1He0el_1000log10e_-1560.dat;749624918.38;0.027542287033;256988.50236;745.24242624;1.5443298350830783
dcsH1He0el_1000log10e_-1570.dat;749624918.38;0.026915348039;254046.7793;765.82526443;1.586982655143094
dcsH1He0el_1000log10e_-1580.dat;749624918.38;0.026302679919;251138.72987;783.58932639;1.6237942615561964
dcsH1He0el_1000log10e_-1590.dat;749624918.38;0.025703957828;248263.9686;795.17131372;1.647795053719246
dcsH1He0el_1000log10e_-1600.dat;749624918.38;0.025118864315;245422.11445;804.78865362;1.667724602036349
dcsH1He0el_1000log10e_-1610.dat;749624918.38;0.024547089157;242612.79074;813.41476208;1.6856000693827966
dcsH1He0el_1000log10e_-1620.dat;749624918.38;0.02398832919;239835.62509;821.30379644;1.7019481337215545
dcsH1He0el_1000log10e_-1630.dat;749624918.38;0.023442288153;237090.24939;828.59386096;1.7170549818309924
dcsH1He0el_1000log10e_-1640.dat;749624918.38;0.022908676528;234376.29975;835.41482107;1.7311897275605548
dcsH1He0el_1000log10e_-1650.dat;749624918.38;0.022387211386;231693.41643;841.94495469;1.7447218076211677
dcsH1He0el_1000log10e_-1660.dat;749624918.38;0.021877616239;229041.24382;848.46068329;1.7582240368555557
dcsH1He0el_1000log10e_-1670.dat;749624918.38;0.021379620895;226419.43038;855.39472137;1.7725931085931563
dcsH1He0el_1000log10e_-1680.dat;749624918.38;0.020892961309;223827.6286;863.41740822;1.7892181345226297
dcsH1He0el_1000log10e_-1690.dat;749624918.38;0.020417379447;221265.49492;873.57299698;1.8102630699190636
dcsH1He0el_1000log10e_-1700.dat;749624918.38;0.01995262315;218732.68974;887.58392168;1.8392972315146143
dcsH1He0el_1000log10e_-1710.dat;749624918.38;0.019498445998;216228.87735;909.13774387;1.8839621747546722
dcsH1He0el_1000log10e_-1720.dat;749624918.38;0.01905460718;213753.72586;1055.1103686;2.1864541847886354
dcsH1He0el_1000log10e_-1730.dat;749624918.38;0.018620871367;211306.90719;1071.0013466;2.219384289906061
dcsH1He0el_1000log10e_-1740.dat;749624918.38;0.018197008586;208888.09703;1084.9775177;2.248346433297244
dcsH1He0el_1000log10e_-1750.dat;749624918.38;0.0177827941;206496.97475;1097.2644757;2.2738081020827274
dcsH1He0el_1000log10e_-1760.dat;749624918.38;0.017378008287;204133.22343;1107.8611767;2.2957671330390306
dcsH1He0el_1000log10e_-1770.dat;749624918.38;0.016982436525;201796.52974;1116.6485594;2.3139768011927497
dcsH1He0el_1000log10e_-1780.dat;749624918.38;0.016595869074;199486.58397;1123.4153552;2.3279993048424403
dcsH1He0el_1000log10e_-1790.dat;749624918.38;0.016218100974;197203.07992;1127.8610711;2.337211946878016
dcsH1He0el_1000log10e_-1800.dat;749624918.38;0.015848931925;194945.71493;1129.5887163;2.3407920624657175
dcsH1He0el_1000log10e_-1810.dat;749624918.38;0.015488166189;192714.18979;1128.0900601;2.3376864697073056
dcsH1He0el_1000log10e_-1820.dat;749624918.38;0.015135612484;190508.2087;1122.7228589;2.3265642782536156
